match_id,date,competition,confederation,match_type,season,home_away,team,opponent,gols_marcados,gols_sofridos,shots,shots_on_goal,blocked_shots,ball_possession,fouls,yellow_cards,red_cards,corners,offsides,passes_accurate,saves,ast,has_shot_data,weight,home_advantage,ko_round,went_et,went_penalties
1125890,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Gabon,Burundi,2.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125874,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Sierra Leone,Egypt,0.0,2.0,,,,,,,,,,,,,False,1.0,0,,,
1125874,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Egypt,Sierra Leone,2.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125878,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Sudan,DR Congo,1.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125878,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,DR Congo,Sudan,0.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125873,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Djibouti,Guinea-Bissau,0.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125873,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Guinea-Bissau,Djibouti,1.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125889,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Gambia,Ivory Coast,0.0,2.0,,,,,,,,,,,,,False,1.0,0,,,
1125889,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Ivory Coast,Gambia,2.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1126006,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Mali,Central African Republic,1.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1126006,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Central African Republic,Mali,1.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125888,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Seychelles,Kenya,0.0,5.0,,,,,,,,,,,,,False,1.0,0,,,
1125888,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Kenya,Seychelles,5.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125897,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Chad,Madagascar,0.0,3.0,,,,,,,,,,,,,False,1.0,0,,,
1125897,2023-11-20 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Madagascar,Chad,3.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125895,2023-11-21 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Malawi,Tunisia,0.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125895,2023-11-21 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Tunisia,Malawi,1.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125875,2023-11-21 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Ethiopia,Burkina Faso,0.0,3.0,,,,,,,,,,,,,False,1.0,0,,,
